Date,Open,High,Low,Close,Adj Close,Volume
2018-02-28,82.129997,82.709999,80.739998,80.750000,80.015205,706400
2018-03-01,81.000000,81.000000,79.220001,79.599998,78.875671,660200
2018-03-02,79.279999,80.779999,79.050003,80.589996,79.856651,461200
2018-03-05,80.190002,81.940002,79.989998,81.769997,81.025909,541300
2018-03-06,82.570000,84.470001,82.040001,83.910004,83.146454,1232700
2018-03-07,83.050003,84.110001,83.029999,83.949997,83.186073,555000
2018-03-08,84.220001,85.010002,83.639999,84.860001,84.087807,629000
2018-03-09,85.410004,86.669998,85.089996,86.529999,85.742599,680500
2018-03-12,86.720001,87.000000,85.180000,85.889999,85.108421,829200
2018-03-13,86.470001,86.470001,85.019997,85.250000,84.474258,478800
2018-03-14,85.599998,85.639999,84.099998,84.370003,83.602264,548600
2018-03-15,84.360001,84.360001,83.540001,84.080002,83.691849,658100
2018-03-16,84.190002,84.489998,83.559998,83.970001,83.582352,1210400
2018-03-19,83.919998,84.199997,82.860001,83.620003,83.233971,490900
2018-03-20,84.010002,84.739998,83.730003,84.150002,83.761520,908800
2018-03-21,84.120003,84.889999,83.989998,84.209999,83.821243,544500
2018-03-22,83.610001,84.129997,81.919998,82.019997,81.641350,684700
2018-03-23,82.209999,82.650002,80.620003,80.720001,80.347359,720300
2018-03-26,81.940002,83.709999,81.769997,83.500000,83.114525,850100
2018-03-27,83.709999,84.459999,81.389999,81.919998,81.541817,1379800
2018-03-28,81.940002,84.730003,81.940002,83.489998,83.104568,1489300
2018-03-29,84.370003,86.610001,84.019997,86.220001,85.821968,1436000
2018-04-02,86.220001,86.410004,84.459999,85.529999,85.135147,1627600
2018-04-03,85.580002,86.709999,85.099998,86.650002,86.249985,1639100
2018-04-04,85.410004,86.400002,85.139999,86.220001,85.821968,1274200
2018-04-05,86.500000,86.940002,86.010002,86.309998,85.911545,1058100
2018-04-06,85.900002,86.190002,84.489998,85.199997,84.806671,936000
2018-04-09,85.459999,86.660004,84.959999,85.290001,84.896263,599400
2018-04-10,86.139999,86.410004,85.029999,85.949997,85.553207,795000
2018-04-11,85.330002,86.220001,85.160004,85.750000,85.354134,762700
2018-04-12,85.559998,87.029999,85.559998,86.620003,86.220123,828600
2018-04-13,86.820000,86.930000,85.690002,85.930000,85.533302,566400
2018-04-16,86.500000,86.980003,85.809998,85.980003,85.583076,773800
2018-04-17,86.480003,86.839996,85.769997,85.900002,85.503441,1326500
2018-04-18,86.349998,86.349998,85.599998,85.650002,85.254601,853300
2018-04-19,85.940002,87.230003,85.730003,86.940002,86.538643,670100
2018-04-20,87.000000,87.660004,86.750000,87.419998,87.016426,1032800
2018-04-23,87.419998,87.589996,86.389999,86.949997,86.548592,767600
2018-04-24,87.320000,87.660004,85.849998,86.250000,85.851830,1758800
2018-04-25,86.320000,87.970001,85.870003,87.790001,87.384720,1097400
2018-04-26,88.349998,88.680000,87.419998,88.160004,87.753014,1368600
2018-04-27,88.320000,88.949997,87.750000,88.800003,88.390060,1017600
2018-04-30,88.900002,89.760002,88.320000,88.320000,87.912270,860300
2018-05-01,88.010002,89.059998,87.959999,89.010002,88.599091,687700
2018-05-02,88.510002,89.300003,87.500000,87.910004,87.504166,1345600
2018-05-03,87.650002,88.180000,84.959999,86.010002,85.612938,1750000
2018-05-04,85.769997,88.129997,85.580002,87.699997,87.295128,1015300
2018-05-07,87.720001,88.980003,87.599998,88.660004,88.250702,1025800
2018-05-08,88.720001,89.110001,88.239998,88.360001,87.952087,916600
2018-05-09,88.510002,90.330002,88.040001,90.089996,89.674095,640100
2018-05-10,90.110001,90.959999,89.790001,90.370003,89.952812,722400
2018-05-11,90.370003,90.889999,90.160004,90.540001,90.122025,599100
2018-05-14,90.800003,91.209999,90.040001,90.400002,89.982674,801000
2018-05-15,90.059998,90.970001,89.750000,89.949997,89.534744,805700
2018-05-16,89.949997,90.709999,89.379997,90.239998,89.823402,763100
2018-05-17,89.970001,90.709999,89.690002,90.570000,90.151886,510000
2018-05-18,90.400002,90.610001,90.019997,90.070000,89.654190,994300
2018-05-21,90.320000,91.360001,90.320000,91.209999,90.788925,475600
2018-05-22,91.220001,91.940002,90.500000,91.510002,91.087547,979000
2018-05-23,91.059998,91.930000,90.750000,91.889999,91.465790,661100
2018-05-24,91.769997,92.720001,91.080002,92.610001,92.182465,1388200
2018-05-25,92.419998,92.900002,92.070000,92.779999,92.351677,1082500
2018-05-29,92.230003,92.879997,91.610001,92.199997,91.774353,902000
2018-05-30,92.870003,94.330002,92.769997,93.440002,93.008636,1407500
2018-05-31,93.290001,93.980003,91.650002,91.860001,91.435928,1274800
2018-06-01,92.639999,93.019997,91.849998,92.089996,91.664864,1594800
2018-06-04,92.500000,93.410004,92.330002,93.110001,92.680161,1571600
2018-06-05,93.209999,93.690002,92.820000,93.300003,92.869286,963500
2018-06-06,93.480003,94.919998,93.339996,94.870003,94.432037,1166000
2018-06-07,94.739998,95.709999,94.709999,95.230003,94.790375,1272200
2018-06-08,95.260002,95.389999,92.769997,95.129997,94.690826,904800
2018-06-11,95.279999,95.589996,95.029999,95.110001,94.670929,516800
2018-06-12,95.370003,95.599998,94.739998,95.320000,94.879951,646500
2018-06-13,95.400002,96.190002,95.199997,95.309998,94.870003,688200
2018-06-14,95.389999,95.790001,94.650002,94.769997,94.769997,493800
2018-06-15,94.570000,95.099998,94.010002,94.919998,94.919998,853900
2018-06-18,94.400002,94.860001,94.120003,94.209999,94.209999,749200
2018-06-19,93.669998,94.070000,93.209999,93.989998,93.989998,876400
2018-06-20,94.309998,94.669998,93.820000,93.889999,93.889999,1059700
2018-06-21,94.110001,94.680000,93.169998,94.129997,94.129997,1055700
2018-06-22,94.370003,94.510002,93.169998,93.599998,93.599998,1424500
2018-06-25,93.139999,93.629997,91.099998,91.870003,91.870003,1222400
2018-06-26,91.709999,92.290001,91.239998,91.650002,91.650002,840500
2018-06-27,91.900002,92.690002,91.050003,91.120003,91.120003,926900
2018-06-28,91.089996,91.849998,90.660004,91.550003,91.550003,831300
2018-06-29,91.839996,92.570000,91.239998,91.269997,91.269997,868700
2018-07-02,91.290001,92.470001,90.800003,91.669998,91.669998,573500
2018-07-03,92.919998,92.919998,89.989998,90.139999,90.139999,505300
2018-07-05,90.320000,90.879997,89.760002,90.330002,90.330002,616700
2018-07-06,90.360001,90.709999,89.699997,90.110001,90.110001,791700
2018-07-09,90.400002,91.529999,90.400002,91.180000,91.180000,733700
2018-07-10,90.779999,91.440002,90.629997,90.760002,90.760002,820800
2018-07-11,90.309998,91.570000,90.309998,91.379997,91.379997,731200
2018-07-12,91.940002,93.570000,91.830002,93.370003,93.370003,1184400
2018-07-13,93.230003,93.519997,92.669998,93.110001,93.110001,608700
2018-07-16,93.160004,94.410004,93.160004,93.889999,93.889999,493100
2018-07-17,93.550003,94.500000,93.320000,94.449997,94.449997,789200
2018-07-18,94.519997,95.650002,94.400002,95.589996,95.589996,524900
